88
1	New York, NewYork	732.2564	189600	40.670543	73.945478
2	Los Angeles, California	348.5398	244500	34.112101	118.411201
3	Chicago, Illinois	278.3726	78700	41.83705	87.684965
4	Houston, Texas	163.0553	58000	29.7687	95.386728
5	Philadelphia, Pennsylvania	158.5577	49400	40.006817	75.134678
6	San Diego, California	111.0549	189400	32.81495	117.13577
7	Detroit, Michigan	102.7974	25600	42.3831	83.102198
8	Dallas, Texas	100.6877	78800	32.794151	96.765249
9	Phoenix , Arizona	98.3403	77100	33.54255	112.071399
10	San Antonio , Texas	93.5933	49700	29.45765	98.505355
11	San Jose , California	78.2248	259100	37.304	121.849783
12	Baltimore, Maryland	73.6014	54700	39.3008	76.610616
13	Indianapolis, Indiana	73.1327	60800	39.7764	86.146196
14	San Francisco, California	72.3959	298900	37.79325	122.554783
15	Jacksonville, Florida	63.523	62900	30.334543	81.657695
16	Columbus, Ohio	63.291	66000	39.988933	82.987381
17	Milwaukee, Wisconsin	62.8088	53500	43.063439	87.96674
18	Memphis, Tennessee	61.0337	55700	35.105778	90.005716
19	Washington, DistrictOfColumbia	60.69	123900	38.90505	77.016167
20	Boston, Massachusetts	57.4283	161400	42.336029	71.017892
21	Seattle, Washington	51.6259	137900	47.6218	122.350326
22	El Paso, Texas	51.5342	58500	31.84925	106.437549
23	Cleveland, Ohio	50.5616	40900	41.4797	81.678511
24	New Orleans, Louisiana	49.6938	69600	30.065846	89.931355
25	Nashville, Tennessee	48.8374	74400	36.17155	86.784829
26	Denver, Colorado	46.761	79000	39.768035	104.872655
27	Austin, Texas	46.5622	72600	30.30588	97.750522
28	Fort Worth, Texas	44.7619	59900	32.753901	97.336249
29	Oklahoma City, Oklahoma	44.4719	54900	35.46705	97.513491
30	Portland, Oregon	43.7319	59200	45.538564	122.6582
31	Kansas City, Missouri	43.5146	56100	39.122474	94.554781
32	Long Beach, California	42.9433	222900	33.7889	118.159824
33	Tucson, Arizona	40.539	66800	32.195816	110.891717
34	St. Louis, Missouri	39.6685	50700	38.63605	90.244299
35	Charlotte, NorthCarolina	39.5934	81300	35.19755	80.834514
36	Atlanta, Georgia	39.4017	71200	33.7629	84.422592
37	Virginia Beach, Virginia	39.3069	96500	36.739356	76.043668
38	Albuquerque, NewMexico	38.4736	85900	35.117218	106.624636
39	Oakland, California	37.2242	177400	37.771544	122.22455
40	Pittsburgh, Pennsylvania	36.9879	41200	40.439207	79.976702
41	Sacramento, California	36.9365	115800	38.56685	121.46736
42	Minneapolis, Minnesota	36.8383	71700	44.96185	93.266849
43	Tulsa, Oklahoma	36.7302	60500	36.12775	95.916407
44	Cincinnati, Ohio	36.404	61900	39.139801	84.505957
45	Miami, Florida	35.8548	79200	25.775667	80.210845
46	Fresno, California	35.4202	80300	36.7806	119.792874
47	Omaha, Nebraska	33.5795	54600	41.2639	96.011745
48	Toledo, Ohio	33.2943	48900	41.66395	83.581649
49	Buffalo, NewYork	32.8123	46700	42.8898	78.859684
50	Wichita, Kansas	30.4011	56700	37.68735	97.342674
51	St. Paul, Minnesota	27.2235	70900	44.947744	93.103686
52	Baton Rouge, Louisiana	21.9531	67900	30.448967	91.126043
53	Raleigh, NorthCarolina	20.7951	96600	35.82195	78.658753
54	Richmond, Virginia	20.3056	66600	37.53105	77.474584
55	Jackson, Mississippi	19.6637	54600	32.3205	90.207591
56	Des Moines, Iowa	19.3187	49500	41.576738	93.617405
57	Lincoln, Nebraska	19.1972	61700	40.8164	96.688171
58	Madison, Wisconsin	19.1262	75200	43.0798	89.387519
59	Montgomery, Alabama	18.7106	62200	32.3544	86.284287
60	Little Rock, Arkansas	17.5795	64200	34.7224	92.354076
61	Providence, RhodeIsland	16.0728	113000	41.82195	71.419732
62	Salt Lake City, Utah	15.9936	67200	40.777267	111.929921
63	Hartford, Connecticut	13.9739	133800	41.7657	72.683866
64	Lansing, Michigan	12.7321	48400	42.7091	84.553996
65	Boise City, Idaho	12.5738	67700	43.606651	116.2261
66	Tallahassee, Florida	12.4773	72400	30.457	84.281399
67	Topeka, Kansas	11.9883	48800	39.0379	95.691999
68	Salem, Oregon	10.7786	60300	44.9245	123.022057
69	Springfield, Illinois	10.5227	59200	39.781433	89.644654
70	Albany, NewYork	10.1082	101800	42.66575	73.799017
71	Columbia, SouthCarolina	9.8052	72600	34.039236	80.886341
72	Trenton, NewJersey	8.8675	71300	40.2234	74.764224
73	Charleston, WestVirginia	5.7287	66100	38.35055	81.630439
74	Santa Fe, NewMexico	5.5859	99000	35.678502	105.954149
75	Harrisburg, Pennsylvania	5.2376	38400	40.27605	76.884503
76	Cheyenne, Wyoming	5.0008	68700	41.14545	104.792349
77	Bismarck, NorthDakota	4.9256	67900	46.805467	100.767298
78	Carson, Nevada	4.0443	99300	39.148328	119.743243
79	Concord, NewHampshire	3.6006	112400	43.231594	71.560077
80	Jefferson City, Missouri	3.5481	61500	38.571902	92.190459
81	Olympia, Washington	3.384	77800	47.041917	122.893766
82	Annapolis, Maryland	3.3187	138500	38.97165	76.503033
83	Dover, Delaware	2.763	88700	39.158691	75.517441
84	Frankfort, Kentucky	2.5968	61500	38.19077	84.865203
85	Helena, Montana	2.4569	63200	46.596522	112.020381
86	Augusta, Maine	2.1325	79500	44.330647	69.729714
87	Pierre, SouthDakota	1.2906	59500	44.372982	100.322483
88	Montpelier, Vermont	0.8247	94100	44.266482	72.571854
