49
1	Sacramento, CA	297.60021	115800	-121.46736	38.56685	SAC
2	Albany, NY	179.90455	101800	-73.799017	42.66575	ALB
3	Austin, TX	169.8651	72600	-97.750522	30.30588	AUS
4	Tallahassee, FL	129.37926	72400	-84.281399	30.457	TAL
5	Harrisburg, PA	118.81643	38400	-76.884503	40.27605	HAR
6	Springfield, IL	114.30602	59200	-89.644654	39.781433	SPR
7	Columbus, OH	108.47115	66000	-82.987381	39.988933	COL
8	Lansing, MI	92.95297	48400	-84.553996	42.7091	LAN
9	Trenton, NJ	77.30188	71300	-74.764224	40.2234	TRE
10	Raleigh, NC	66.28637	96600	-78.658753	35.82195	RAL
11	Atlanta, GA	64.78216	71200	-84.422592	33.7629	ATL
12	Richmond, VA	61.87358	66600	-77.474584	37.53105	RIC
13	Boston, MA	60.16425	161400	-71.017892	42.336029	BOS
14	Indianapolis, IN	55.44159	60800	-86.146196	39.7764	IND
15	Jefferson City, MO	51.17073	61500	-92.190459	38.571902	JEF
16	Madison, WI	48.91769	75200	-89.387519	43.0798	MAD
17	Nashville-Davidson, TN	48.77185	74400	-86.784829	36.17155	NAS
18	Olympia, WA	48.66692	77800	-122.893766	47.041917	OLY
19	Annapolis, MD	47.81468	138500	-76.503033	38.97165	ANN
20	St. Paul, MN	43.75099	70900	-93.103686	44.947744	STP
21	Baton Rouge, LA	42.19973	67900	-91.126043	30.448967	BR
22	Montgomery, AL	40.40587	62200	-86.284287	32.3544	MON
23	Frankfort, KY	36.85296	61500	-84.865203	38.19077	FRA
24	Phoenix, AZ	36.65228	77100	-112.071399	33.54255	PHO
25	Columbia, SC	34.86703	72600	-80.886341	34.039236	COL
26	Denver, CO	32.94394	79000	-104.872655	39.768035	DEN
27	Hartford, CT	32.87116	133800	-72.683866	41.7657	HAR
28	Oklahoma City, OK	31.45585	54900	-97.513491	35.46705	OKC
29	Salem, OR	28.42321	60300	-123.022057	44.9245	SAL
30	Des Moines, IA	27.76755	49500	-93.617405	41.576738	DM
31	Jackson, MS	25.73216	54600	-90.207591	32.3205	JAC
32	Topeka, KS	24.77574	48800	-95.691999	39.0379	TOP
33	Little Rock, AR	23.50725	64200	-92.354076	34.7224	LR
34	Charleston, WV	17.93477	66100	-81.630439	38.35055	CHA
35	Salt Lake City, UT	17.2285	67200	-111.929921	40.777267	SLC
36	Lincoln, NE	15.78385	61700	-96.688171	40.8164	LIN
37	Santa Fe, NM	15.15069	99000	-105.954149	35.678502	SF
38	Augusta, ME	12.27928	79500	-69.729714	44.330647	AUG
39	Carson City, NV	12.01833	99300	-119.743243	39.148328	CAR
40	Concord, NH	11.09252	112400	-71.560077	43.231594	CON
41	Boise City, ID	10.06749	67700	-116.2261	43.606651	BC
42	Providence, RI	10.03464	113000	-71.419732	41.82195	PRO
43	Helena, MT	7.99065	63200	-112.020381	46.596522	HEL
44	Pierre, SC	6.96004	59500	-100.322483	44.372982	PIE
45	Dover, DE	6.66168	88700	-75.517441	39.158691	DOV
46	Bismarck, ND	6.388	67900	-100.767298	46.805467	BIS
47	Washington, DC	6.069	123900	-77.016167	38.90505	WAS
48	Montpelier, VT	5.62758	94100	-72.571854	44.266482	MON
49	Cheyenne, WY	4.53588	68700	-104.792349	41.14545	CHE
