150
1	New York	732.2564	100000	-73.94548	40.67054	NYC
2	Los Angeles	348.5398	100000	-118.4112	34.1121	LA
3	Chicago	278.3726	100000	-87.68497	41.83705	CHI
4	Houston	163.0553	100000	-95.38733	29.76805	HOU
5	Philadelphia	158.5577	100000	-75.13468	40.00682	PHI
6	San Diego	111.0549	100000	-117.1358	32.81495	SD
7	Detroit	102.7974	100000	-83.1022	42.3831	DET
8	Dallas	100.6877	100000	-96.76747	32.79315	DAL
9	Phoenix	98.3403	100000	-112.0714	33.54255	PHO
10	San Antonio	93.5933	100000	-98.50536	29.45765	SAN
11	San Jose	78.2248	100000	-121.8498	37.304	SJ
12	Baltimore	73.6014	100000	-76.61062	39.3008	BAL
13	Indianapolis	73.1327	100000	-86.1462	39.7764	IND
14	San Francisco	72.3959	100000	-122.5548	37.79325	SF
15	Jacksonville	63.523	100000	-81.6577	30.33454	JAX
16	Columbus	63.291	100000	-82.98738	39.98893	COL
17	Milwaukee	62.8088	100000	-87.96674	43.06344	MIL
18	Memphis	61.0337	100000	-90.00699	35.1056	MEM
19	Washington	60.69	100000	-77.01617	38.90505	DC
20	Boston	57.4283	100000	-71.01789	42.33603	BOS
21	Seattle	51.6259	100000	-122.3503	47.6218	SEA
22	El Paso	51.5342	100000	-106.4375	31.84925	EP
23	Cleveland	50.5616	100000	-81.67851	41.4797	CLE
24	New Orleans	49.6938	100000	-89.93136	30.06584	NO
25	Nashville-Davidson	48.8374	100000	-86.78483	36.17155	NAS
26	Denver	46.761	100000	-104.8728	39.7679	DEN
27	Austin	46.5622	100000	-97.75066	30.30493	AUS
28	Oklahoma City	44.4719	100000	-97.51349	35.46705	OKC
29	Portland	43.7319	100000	-122.6582	45.53856	POR
30	Kansas City	43.5146	100000	-94.55478	39.12247	KC
31	Long Beach	42.9433	100000	-118.1598	33.7889	LBC
32	Tucscon	40.539	100000	-110.8917	32.19582	TUC
33	St. Louis	39.6685	100000	-90.2443	38.63605	STL
34	Charlotte	39.5934	100000	-80.83451	35.19755	CHA
